,GWA Title,m1_pred,m2_pred,m3_pred,m4_pred
22079,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
22080,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems
22081,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems
22082,Working with Computers,Working with Computers,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Judging the Qualities of Objects, Services, or People"
22083,Getting Information,Analyzing Data or Information,Analyzing Data or Information,Analyzing Data or Information,Analyzing Data or Information
22084,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Making Decisions and Solving Problems,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Making Decisions and Solving Problems,Making Decisions and Solving Problems
22085,Making Decisions and Solving Problems,Making Decisions and Solving Problems,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Making Decisions and Solving Problems,Making Decisions and Solving Problems
22086,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Inspecting Equipment, Structures, or Materials"
22087,Processing Information,Processing Information,Processing Information,Getting Information,Processing Information
22088,Working with Computers,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes
22089,Working with Computers,Working with Computers,Working with Computers,Thinking Creatively,Thinking Creatively
22090,Working with Computers,Thinking Creatively,Thinking Creatively,Thinking Creatively,Thinking Creatively
22091,Working with Computers,Monitoring and Controlling Resources,Working with Computers,Monitoring and Controlling Resources,Working with Computers
22092,Thinking Creatively,Thinking Creatively,Thinking Creatively,Thinking Creatively,Thinking Creatively
22093,Working with Computers,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
22094,"Organizing, Planning, and Prioritizing Work",Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22095,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes
22096,Handling and Moving Objects,Controlling Machines and Processes,Thinking Creatively,Controlling Machines and Processes,Controlling Machines and Processes
22097,Handling and Moving Objects,Controlling Machines and Processes,Thinking Creatively,Controlling Machines and Processes,Controlling Machines and Processes
22098,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
22099,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
22100,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22101,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
22102,"Communicating with Supervisors, Peers, or Subordinates","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
22103,Getting Information,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates"
22104,Getting Information,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates"
22105,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates"
22106,Performing General Physical Activities,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
22107,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities
22108,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities
22109,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
22110,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
22111,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
22112,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
22113,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities
22114,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22115,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
22116,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22117,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
